date,gross_intake,live_outcome,other_outcome,adoptions,stray,euthanasia,cat_intake,dog_intake,cat_outcome,dog_outcome,cat_adopt,dog_adopt,cat_stray,dog_stray,cat_euth,dog_euth
Jan 2016,6166,6003,932,4343,2403,577,3582,2584,3717,2286,2775,1568,1641,762,354,223
Feb 2016,6390,5864,952,4110,2259,434,3569,2821,3519,2345,2464,1646,1494,765,215,219
Mar 2016,7219,6173,776,4021,2854,448,4289,2930,3626,2547,2311,1710,1964,890,237,211
Apr 2016,8350,6554,890,4083,3496,534,5398,2952,4061,2493,2414,1669,2594,902,315,219
May 2016,10026,7059,1070,4198,4815,628,7110,2916,4628,2431,2541,1657,3887,928,403,225
Jun 2016,9679,7653,1200,4855,4610,738,6689,2990,5179,2474,3206,1649,3668,942,512,226
Jul 2016,10120,8588,1502,5762,4852,966,6906,3214,5766,2822,3773,1989,3734,1118,699,267
Aug 2016,10163,8617,1643,5714,4948,1116,7016,3147,5963,2654,3864,1850,3921,1027,817,299
Sep 2016,9452,7931,1571,5472,4701,1052,6609,2843,5397,2534,3249,2223,3799,902,807,245
Oct 2016,8904,8226,1394,5827,4306,870,5991,2913,5639,2587,3926,1901,3408,898,658,212
Nov 2016,7070,7122,1030,5215,3208,624,4443,2627,4802,2320,3563,1652,2362,846,403,221
Dec 2016,6117,6565,734,5091,2558,417,3406,2711,4023,2542,3249,1842,1714,844,229,188
,,,,,,,,,,,,,,,,
Jan 2017,6808,6654,784,4873,2408,434,3654,3154,3940,2714,2874,1999,1522,886,211,223
Feb 2017,6536,6063,781,4446,2317,416,3539,2997,3545,2518,2604,1842,1549,768,203,213
Mar 2017,7413,6998,774,4778,2908,405,4072,3341,4033,2965,2596,2182,1952,956,195,210
Apr 2017,8457,6522,881,4657,3685,478,5227,3230,3668,2854,2532,2125,2715,970,272,206
May 2017,10006,7180,1139,4900,4593,655,6533,3473,4290,2890,2844,2056,3557,1036,392,263
Jun 2017,10663,8096,1302,5725,4944,668,7069,3594,5171,2925,3611,2114,3836,1108,425,243
Jul 2017,10100,8391,1444,5958,4948,833,6496,3604,5332,3059,3784,2174,3809,1139,534,299
Aug 2017,10849,8946,1595,6615,5301,981,7135,3714,5891,3055,4319,2296,4211,1090,667,314
Sep 2017,10150,8974,1448,6866,4433,846,6513,3637,5782,3192,4444,2422,3385,1048,563,283
Oct 2017,9403,8172,1334,6112,4613,752,5961,3442,5181,2991,3899,2213,3484,1129,520,232
Nov 2017,8168,7901,1157,6086,3678,628,5143,3025,5163,2738,4062,2024,2716,962,387,241
Dec 2017,6835,8057,888,6460,2699,481,3751,3084,5169,2888,4234,2226,1802,897,276,205
,,,,,,,,,,,,,,,,
